"id_str","text"
"1274640919858307074","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274640769635106816","@hardam_ @jokowi Mau nambahin ya, kartu prakerja, #sebelahmata Novel Baswedan... dll dll"
"1274640764237041664","RT @SuryaAnta: Ahmad Fatoni adlh JPU kasus kami (Jakarta six) &amp; kasus Novel Baswedan. Tntutn thdp kami (yg demo damai) 17 bln.Tntutan tdkwa kasus Novel 1 Thn.Tak ada 1 orang pun terluka dlm demo 28 Agsts 19. Smntra ada mata Novel yg tak akan bisa sembuh. Paham ini soal Marwah siapa yg terluka?"
"1274640672461516800","@kompascom berak sekebon loe novel baswedan"
"1274640406148378624","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274640370551287809","RT @syifaz1995: Luar biasa ini ucapan selamat ultah buat Bapak Jokowi dari @nazaqistsha.

Semoga saja kasus walet juga dapatkan keadilan ya pak @nazaqistsha.
https://t.co/F7iYgsrCME"
"1274640333297483776","RT @TirtoID: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan.

https://t.co/vlyVP5YBnu"
"1274640307145936899","RT @TirtoID: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan.

https://t.co/vlyVP5YBnu"
"1274640186945634304","RT @syifaz1995: Luar biasa ini ucapan selamat ultah buat Bapak Jokowi dari @nazaqistsha.

Semoga saja kasus walet juga dapatkan keadilan ya pak @nazaqistsha.
https://t.co/F7iYgsrCME"
"1274640149280768000","RT @KompasTV: Novel Baswedan Berharap di Ulang Tahun ke 59 Presiden Jokowi Tetap Ingat Penegakan Hukum https://t.co/5gOAQjr39d https://t.co/MKDNnWpVeX"
